Customers.id,Customers.create_date,Customers.last_modified,Customers.customer_type
797,1426018724,1437764306,0.0
3,1386089139,1437764354,0.0
3,1386089139,1437764354,0.0
4,1386780263,1437762646,0.0
5,1386861599,1437764316,0.0
5,1386861599,1437764316,0.0
5,1386861599,1437764316,0.0
7,1388155947,1437763617,0.0
8,1389303216,1437763421,0.0
10,1390509516,1437763553,0.0
11,1390573155,1437763644,0.0
12,1390613314,1437762807,0.0
13,1390856039,1437763265,0.0
13,1390856039,1437763265,0.0
13,1390856039,1437763265,0.0
14,1391012017,1437762774,0.0
15,1391362873,1437763316,0.0
66,1395348641,1437763333,0.0
21,1391618732,1437762877,0.0
22,1391814966,1437763278,0.0
23,1391896746,1437763710,0.0
23,1391896746,1437763710,0.0
23,1391896746,1437763710,0.0
23,1391896746,1437763710,0.0
24,1392048474,1437762652,0.0
25,1392048647,1437762986,0.0
26,1392053937,1437763531,0.0
27,1392133600,1437763518,0.0
27,1392133600,1437763518,0.0
27,1392133600,1437763518,0.0
27,1392133600,1437763518,0.0
27,1392133600,1437763518,0.0
27,1392133600,1437763518,0.0
27,1392133600,1437763518,0.0
65,1395336674,1437763013,0.0
65,1395336674,1437763013,0.0
65,1395336674,1437763013,0.0
30,1392311828,1437763560,0.0
31,1392391683,1437764336,0.0
32,1392394110,1437763266,0.0
33,1392484955,1437763230,0.0
35,1393012093,1437764293,0.0
37,1393202855,1437763100,0.0
39,1393370003,1437763022,0.0
40,1393524073,1437763489,0.0
41,1393534046,1437764242,0.0
41,1393534046,1437764242,0.0
42,1393680949,1437763057,0.0
43,1393711682,1437763628,0.0
44,1393862428,1437762859,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
45,1393966742,1437764308,0.0
46,1393970070,1437762763,0.0
48,1394068137,1437764419,0.0
50,1394145837,1437763078,0.0
52,1394243162,1437763189,0.0
55,1394430962,1437559494,0.0
55,1394430962,1437559494,0.0
55,1394430962,1437559494,0.0
55,1394430962,1437559494,0.0
55,1394430962,1437559494,0.0
55,1394430962,1437559494,0.0
55,1394430962,1437559494,0.0
56,1394496123,1437764371,0.0
57,1394716649,1437763168,0.0
59,1394832561,1437764387,0.0
60,1394836187,1437763286,0.0
61,1395059167,1437763061,0.0
62,1395079811,1437762946,0.0
63,1395178939,1437763571,0.0
68,1395414500,1437763540,0.0
69,1395418385,1437763539,0.0
70,1395419303,1437763392,0.0
71,1395452316,1437763423,0.0
72,1395587337,1437762803,0.0
73,1395608569,1437763064,0.0
73,1395608569,1437763064,0.0
73,1395608569,1437763064,0.0
74,1395689831,1437764445,0.0
75,1395726593,1437763274,0.0
76,1395763639,1437762888,0.0
77,1395785939,1437764442,0.0
78,1395855445,1437764312,0.0
79,1395956374,1437560448,0.0
79,1395956374,1437560448,0.0
79,1395956374,1437560448,0.0
79,1395956374,1437560448,0.0
79,1395956374,1437560448,0.0
82,1396025977,1437763132,0.0
84,1396296714,1437762939,0.0
85,1396440409,1437762651,0.0
85,1396440409,1437762651,0.0
85,1396440409,1437762651,0.0
100,1396472993,1437763206,0.0
100,1396472993,1437763206,0.0
100,1396472993,1437763206,0.0
101,1396474554,1437762929,0.0
101,1396474554,1437762929,0.0
102,1396486314,1437763673,0.0
103,1396547681,1437762616,0.0
104,1396583870,1437763541,0.0
104,1396583870,1437763541,0.0
104,1396583870,1437763541,0.0
104,1396583870,1437763541,0.0
104,1396583870,1437763541,0.0
105,1396586169,1437763353,0.0
106,1396733177,1437764277,0.0
